name,data,latitude,longitude
グループホームやすらぎの家,"33.50452203104096, 132.52147",33.50452,132.52147
亀の郷,"33.492342612180494, 132.54613",33.49234,132.54613
サポートシステム龍星,"33.500825615396785, 132.55141",33.50082,132.55141
空海の里,"33.501040332061045, 132.55369",33.50104,132.55369
特別養護老人ホームとみす寮,"33.51080534079789, 132.53897",33.51080,132.53897
有料老人ホーム ウェルフェア大洲,"33.510550026989435, 132.54667",33.51055,132.54667
特別養護老人ホーム希望ケ丘荘,"33.512904214355245, 132.57524",33.51290,132.57524
養護老人ホーム清和園,"33.51736706294485, 132.57029",33.51736,132.57029
グループホーム星城,"33.52781946656025, 132.58707",33.52781,132.58707
グループホーム銀河,"33.53104802314319, 132.58376",33.53104,132.58376
大洲記念病院介護老人保健施設ひまわり,"33.53130098071806, 132.58288",33.53130,132.58288
複合型介護施設キネマ,"33.531365704533684, 132.58267",33.53136,132.58267
サービス付き高齢者向け住宅ゆうゆう大洲,"33.53497895667026, 132.59092",33.53497,132.59092
グループホーム春のうらら,"33.529384719449695, 132.59781",33.52938,132.59781
小規模特別養護老人ホーム ひまわり,"33.57263576635995, 132.52565",33.57263,132.52565
養護老人ホームさくら苑,"33.57849962324958, 132.52128",33.57849,132.52128
,,,
,,,
,,,
,,,
,,,
,,,
,,,
